               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.097106,            0.021043,                   0,             0.46052,             0.40947,             0.38165,              0.1235,            0.073409,            0.011663,                   0,            0.070469,           0.0032813,           0.0032813
                   1,             0.06544,             0.02141,                   0,             0.57485,             0.48368,             0.54279,             0.22829,            0.058978,           0.0093581,                   0,            0.040456,           0.0066015,           0.0066015
                   2,             0.05758,            0.019988,                   0,             0.59931,             0.64228,             0.58799,             0.25637,            0.052497,           0.0081131,                   0,            0.010429,           0.0099085,           0.0099085
                   3,            0.051094,            0.017792,                   0,              0.7679,             0.73171,             0.76523,             0.35119,            0.050775,           0.0075924,                   0,           0.0099406,           0.0099406,           0.0099406
                   4,             0.04625,            0.016623,                   0,              0.8085,             0.73171,             0.75807,             0.26567,            0.050823,           0.0076739,                   0,           0.0099406,           0.0099406,           0.0099406
                   5,            0.040624,            0.015557,                   0,             0.79327,             0.68632,             0.75355,             0.34397,            0.049859,           0.0078844,                   0,           0.0099208,           0.0099208,           0.0099208
                   6,            0.040423,             0.01526,                   0,             0.86453,             0.73713,             0.81999,             0.46129,            0.042305,           0.0074089,                   0,            0.009901,            0.009901,            0.009901
                   7,            0.038408,            0.015243,                   0,             0.85489,             0.79133,             0.84918,             0.44075,            0.040316,           0.0072466,                   0,           0.0098812,           0.0098812,           0.0098812
                   8,            0.037111,            0.014749,                   0,              0.9103,             0.79758,             0.86217,             0.47997,            0.038489,           0.0068975,                   0,           0.0098614,           0.0098614,           0.0098614
                   9,            0.036286,            0.014494,                   0,             0.89893,             0.79404,             0.86073,             0.40501,             0.03892,           0.0072362,                   0,           0.0098416,           0.0098416,           0.0098416
                  10,             0.03568,            0.014481,                   0,             0.87292,              0.8103,             0.88999,             0.49123,            0.035745,           0.0072654,                   0,           0.0098218,           0.0098218,           0.0098218
                  11,            0.034693,            0.013933,                   0,             0.88731,             0.79675,             0.88498,             0.50609,            0.035377,           0.0067955,                   0,            0.009802,            0.009802,            0.009802
                  12,            0.034205,            0.013896,                   0,             0.86971,             0.76694,              0.8661,             0.48483,            0.038231,           0.0071679,                   0,           0.0097822,           0.0097822,           0.0097822
                  13,            0.033724,            0.014153,                   0,             0.87002,             0.81629,             0.88021,             0.51132,            0.036208,            0.006562,                   0,           0.0097624,           0.0097624,           0.0097624
                  14,            0.033027,            0.014084,                   0,             0.85725,             0.80217,              0.8759,             0.45762,            0.036602,           0.0072063,                   0,           0.0097426,           0.0097426,           0.0097426
                  15,            0.032503,            0.013429,                   0,             0.87456,             0.82927,             0.89559,             0.48819,            0.036319,            0.006354,                   0,           0.0097228,           0.0097228,           0.0097228
                  16,            0.031256,            0.013356,                   0,             0.85408,             0.80899,             0.88158,             0.48111,              0.0362,           0.0074657,                   0,            0.009703,            0.009703,            0.009703
                  17,            0.031482,            0.013496,                   0,             0.91605,             0.83469,             0.89948,             0.53745,            0.035316,           0.0066398,                   0,           0.0096832,           0.0096832,           0.0096832
                  18,            0.031507,            0.013594,                   0,             0.91278,             0.83469,             0.91032,             0.51997,            0.034601,           0.0069609,                   0,           0.0096634,           0.0096634,           0.0096634
                  19,            0.030852,            0.012723,                   0,             0.85433,             0.79133,             0.85742,             0.45286,            0.039995,           0.0072608,                   0,           0.0096436,           0.0096436,           0.0096436
                  20,            0.030918,            0.013234,                   0,             0.94267,             0.80214,             0.88673,             0.49384,            0.035242,           0.0067393,                   0,           0.0096238,           0.0096238,           0.0096238
                  21,             0.03087,            0.013194,                   0,              0.8931,              0.8645,             0.89911,             0.49851,            0.036472,           0.0066928,                   0,            0.009604,            0.009604,            0.009604
                  22,             0.03074,            0.012847,                   0,             0.94027,             0.85637,             0.90807,             0.54667,            0.035968,            0.006432,                   0,           0.0095842,           0.0095842,           0.0095842
                  23,            0.030103,            0.012723,                   0,             0.88749,             0.83469,              0.8923,             0.52223,            0.037646,           0.0064773,                   0,           0.0095644,           0.0095644,           0.0095644
                  24,            0.030142,            0.012766,                   0,             0.91363,             0.80273,             0.89193,              0.5202,            0.036048,           0.0069499,                   0,           0.0095446,           0.0095446,           0.0095446
                  25,            0.030006,            0.013272,                   0,             0.85736,             0.81572,             0.87691,             0.45094,            0.038606,           0.0072298,                   0,           0.0095248,           0.0095248,           0.0095248
                  26,             0.02887,            0.012283,                   0,             0.93058,              0.8356,             0.92162,             0.56613,            0.033636,           0.0062557,                   0,            0.009505,            0.009505,            0.009505
                  27,             0.02963,            0.013226,                   0,             0.93971,             0.84486,             0.91345,             0.51642,             0.03411,           0.0065294,                   0,           0.0094852,           0.0094852,           0.0094852
                  28,            0.028659,            0.012576,                   0,              0.9207,             0.88104,             0.94129,             0.56819,            0.032119,             0.00629,                   0,           0.0094654,           0.0094654,           0.0094654
                  29,            0.028984,            0.012419,                   0,             0.88357,             0.87263,             0.92261,             0.53286,            0.033346,           0.0064997,                   0,           0.0094456,           0.0094456,           0.0094456
                  30,            0.028857,            0.013171,                   0,             0.93919,             0.84824,             0.93771,             0.53346,            0.032482,           0.0062013,                   0,           0.0094258,           0.0094258,           0.0094258
